index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Actual Production
994,19-03-2018,NorthEastern,31.96,33.04,,,12.16,7.2,44.12
995,20-03-2018,Northern,619.39,664.76,30.32,30.85,134.13,99.35,783.84
996,20-03-2018,Western,1175.98,1191.97,25.19,26.11,38.1,23.08,1239.27
997,20-03-2018,Southern,649.52,675.82,62.86,47.69,88.22,61.54,800.6
998,20-03-2018,Eastern,501.14,507.57,,,30.16,30.2,531.3
999,20-03-2018,NorthEastern,31.96,33.37,,,12.16,6.69,44.12
1000,21-03-2018,Northern,623.37,643.01,30.32,29.8,134.13,97.94,787.82
1001,21-03-2018,Western,1175.98,1183.09,25.19,26.12,38.1,22.08,1239.27
1002,21-03-2018,Southern,649.52,691.93,62.86,48.48,88.22,58.78,800.6
1003,21-03-2018,Eastern,501.14,502.22,,,30.16,33.12,531.3
1004,21-03-2018,NorthEastern,31.96,34.43,,,12.16,7.38,44.12
1005,22-03-2018,Northern,624.02,646.41,30.32,25.9,134.13,100.66,788.47
1006,22-03-2018,Western,1179.18,1210.24,25.19,26.03,38.1,19.85,1242.47
1007,22-03-2018,Southern,649.52,694.15,62.86,48.47,88.22,59.21,800.6
1008,22-03-2018,Eastern,501.14,518.01,,,30.16,31.93,531.3
1009,22-03-2018,NorthEastern,31.96,35.09,,,12.16,5.46,44.12
1010,23-03-2018,Northern,624.02,651.19,30.32,26.44,134.13,101.37,788.47
1011,23-03-2018,Western,1179.18,1222.6,25.19,26.09,38.1,21.11,1242.47
1012,23-03-2018,Southern,649.52,702.2,62.86,48.46,88.22,64,800.6
1013,23-03-2018,Eastern,501.14,527.94,,,30.16,33.17,531.3
1014,23-03-2018,NorthEastern,31.96,35.2,,,12.16,5.57,44.12
1015,24-03-2018,Northern,624.02,637.74,30.32,30.55,134.13,101.89,788.47
1016,24-03-2018,Western,1179.18,1223.81,25.19,26.08,38.1,26.69,1242.47
1017,24-03-2018,Southern,649.52,715.62,62.86,48.56,88.22,63.84,800.6
1018,24-03-2018,Eastern,501.14,529.56,,,30.16,34.98,531.3
1019,24-03-2018,NorthEastern,31.96,33.95,,,12.16,5.46,44.12
1020,25-03-2018,Northern,624.02,599.15,30.32,31.09,134.13,100.87,788.47
1021,25-03-2018,Western,1179.18,1207.06,25.19,22.51,38.1,21.03,1242.47
1022,25-03-2018,Southern,649.52,677.37,62.86,48.48,88.22,49.75,800.6
1023,25-03-2018,Eastern,501.14,531.14,,,30.16,28.23,531.3
1024,25-03-2018,NorthEastern,31.96,33.76,,,12.16,5.68,44.12
1025,26-03-2018,Northern,624.02,635.47,30.32,30.93,134.13,98.18,788.47
1026,26-03-2018,Western,1179.18,1240.15,25.19,13.05,38.1,39.2,1242.47
1027,26-03-2018,Southern,649.52,699.4,62.86,48.56,88.22,76.87,800.6
1028,26-03-2018,Eastern,505.24,544.38,,,30.16,30.59,535.4
1029,26-03-2018,NorthEastern,31.96,33.05,,,12.16,6.77,44.12
1030,27-03-2018,Northern,624.67,634.68,30.32,30.92,134.13,96.16,789.12
1031,27-03-2018,Western,1179.18,1254.28,25.19,15.95,38.1,42.38,1242.47
1032,27-03-2018,Southern,649.52,717.22,62.86,48.39,88.22,86.32,800.6
1033,27-03-2018,Eastern,505.24,546.76,,,30.16,31.34,535.4
1034,27-03-2018,NorthEastern,31.96,32.89,,,12.16,6.51,44.12
1035,28-03-2018,Northern,624.67,656.12,30.32,30.85,134.13,95.55,789.12
1036,28-03-2018,Western,1179.18,1239.47,25.19,15.95,38.1,22.81,1242.47
1037,28-03-2018,Southern,649.52,746.79,62.86,48.39,88.22,81.07,800.6
1038,28-03-2018,Eastern,505.24,559.96,,,30.16,33.73,535.4
1039,28-03-2018,NorthEastern,31.96,32.4,,,12.16,6.44,44.12
1040,29-03-2018,Northern,625.32,649.8,30.32,30.82,134.13,97.26,789.77
1041,29-03-2018,Western,1179.18,1281.13,25.19,16.19,38.1,24.14,1242.47
1042,29-03-2018,Southern,649.52,738.67,62.86,48.46,88.22,75.23,800.6
1043,29-03-2018,Eastern,505.24,553.61,,,30.16,37.88,535.4
1044,29-03-2018,NorthEastern,31.96,28.25,,,12.16,6.64,44.12
1045,30-03-2018,Northern,625.97,633.74,30.32,30.83,134.13,93.2,790.42
1046,30-03-2018,Western,1179.18,1274.69,25.19,28.91,38.1,13.4,1242.47
1047,30-03-2018,Southern,649.52,708.86,62.86,48.54,88.22,63.86,800.6
1048,30-03-2018,Eastern,505.24,530.74,,,30.16,29.81,535.4
1049,30-03-2018,NorthEastern,31.96,26.59,,,12.16,7.89,44.12
1050,31-03-2018,Northern,628.5,599.11,30.32,30.88,134.13,89.39,792.95
1051,31-03-2018,Western,1179.18,1243.68,25.19,29.08,38.1,18.72,1242.47
1052,31-03-2018,Southern,649.52,664.82,62.86,48.56,88.22,53.73,800.6
1053,31-03-2018,Eastern,505.24,509.54,,,30.16,20.87,535.4
1054,31-03-2018,NorthEastern,31.96,28.32,,,12.16,7,44.12
1055,01-04-2018,Northern,657.76,552.66,22.5,36.09,154.72,95.71,834.98
1056,01-04-2018,Western,1230.81,1213.69,14.07,30.48,24.4,14.83,1269.28
1057,01-04-2018,Southern,650.59,639.99,47.03,47.68,62.88,46.06,760.5
1058,01-04-2018,Eastern,471.76,487.76,,,39.12,14.38,510.88
1059,01-04-2018,NorthEastern,30.25,30.37,,,7.43,7.49,37.68
1060,02-04-2018,Northern,657.76,600.38,22.5,36.05,154.72,104.47,834.98
1061,02-04-2018,Western,1230.81,1220.85,14.07,31.35,24.4,37.47,1269.28
1062,02-04-2018,Southern,650.59,629.28,47.03,48.47,62.88,50.14,760.5
1063,02-04-2018,Eastern,471.76,491.98,,,39.12,23.62,510.88
1064,02-04-2018,NorthEastern,30.25,29.72,,,7.43,7.22,37.68
1065,03-04-2018,Northern,682.27,634.5,22.5,36.06,154.72,108.76,859.49
1066,03-04-2018,Western,1230.81,1223.12,14.07,31.46,24.4,41.17,1269.28
1067,03-04-2018,Southern,650.59,689.5,47.03,47.53,62.88,71.14,760.5
1068,03-04-2018,Eastern,471.76,532.32,,,39.12,29.03,510.88
1069,03-04-2018,NorthEastern,30.25,29.9,,,7.43,6.56,37.68
1070,04-04-2018,Northern,682.27,662.82,22.5,36.04,154.72,115.23,859.49
1071,04-04-2018,Western,1230.81,1222.3,14.07,32.01,24.4,36.49,1269.28
1072,04-04-2018,Southern,650.59,697.41,47.03,47.53,62.88,73.18,760.5
1073,04-04-2018,Eastern,471.76,539.86,,,39.12,27.63,510.88
1074,04-04-2018,NorthEastern,30.25,30.44,,,7.43,6.47,37.68
1075,05-04-2018,Northern,638.68,635.3,22.5,34.15,154.72,108.13,815.9
1076,05-04-2018,Western,1228.4,1243.93,14.07,32.18,24.4,23.94,1266.87
1077,05-04-2018,Southern,643.73,697.37,47.03,47.57,62.88,75.96,753.64
1078,05-04-2018,Eastern,464.13,539.21,,,39.12,27.42,503.25
1079,05-04-2018,NorthEastern,30.25,30.31,,,7.43,5.62,37.68
1080,06-04-2018,Northern,640.97,618.14,22.5,31.13,154.72,106.01,818.19
1081,06-04-2018,Western,1230.81,1241.81,14.07,32.45,24.4,22.53,1269.28
1082,06-04-2018,Southern,650.59,706.91,47.03,48.44,62.88,74.97,760.5
1083,06-04-2018,Eastern,457.96,536.52,,,39.12,28.04,497.08
1084,06-04-2018,NorthEastern,30.25,30.51,,,7.43,5.77,37.68
1085,07-04-2018,Northern,640.97,555.83,22.5,29.62,154.72,108.85,818.19
1086,07-04-2018,Western,1230.81,1256.06,14.07,32.7,24.4,21.1,1269.28
1087,07-04-2018,Southern,650.59,662.33,47.03,48.39,62.88,59.09,760.5
1088,07-04-2018,Eastern,457.96,528.48,,,39.12,25.48,497.08
1089,07-04-2018,NorthEastern,30.25,25.17,,,7.43,5.51,37.68
1090,08-04-2018,Northern,640.97,559.83,22.5,30.45,154.72,104.73,818.19
1091,08-04-2018,Western,1230.81,1222.73,14.07,32.84,24.4,12.8,1269.28
1092,08-04-2018,Southern,650.59,596.17,47.03,48.41,62.88,48.21,760.5
1093,08-04-2018,Eastern,457.96,484.06,,,39.12,27.84,497.08
1094,08-04-2018,NorthEastern,30.25,24.23,,,7.43,6.14,37.68
1095,09-04-2018,Northern,640.97,532.72,22.5,30.75,154.72,111.09,818.19
1096,09-04-2018,Western,1230.81,1266.79,14.07,33.18,24.4,21.04,1269.28
1097,09-04-2018,Southern,650.59,638.68,47.03,48.35,62.88,64,760.5
1098,09-04-2018,Eastern,457.96,513.26,,,39.12,28.56,497.08
1099,09-04-2018,NorthEastern,30.25,23.07,,,7.43,5.68,37.68
1100,10-04-2018,Northern,635.21,561.19,22.5,30.57,154.72,111.67,812.43
1101,10-04-2018,Western,1230.81,1276.35,14.07,33.5,24.4,24.66,1269.28
1102,10-04-2018,Southern,650.59,670.18,47.03,48.33,62.88,74.73,760.5
1103,10-04-2018,Eastern,457.96,507.13,,,39.12,33.21,497.08
1104,10-04-2018,NorthEastern,30.25,25.18,,,7.43,6.86,37.68
1105,11-04-2018,Northern,637.57,527.89,22.5,28.66,154.72,117.18,814.79
1106,11-04-2018,Western,1230.81,1254.86,14.07,32.97,24.4,15.7,1269.28
1107,11-04-2018,Southern,650.59,670.91,47.03,48.3,62.88,68.46,760.5
1108,11-04-2018,Eastern,457.96,521.72,,,39.12,46.37,497.08
1109,11-04-2018,NorthEastern,30.25,29.17,,,7.43,5.94,37.68
1110,12-04-2018,Northern,635.07,524.66,22.5,30.83,154.72,121.24,812.29
1111,12-04-2018,Western,1230.81,1230.68,14.07,29.67,24.4,22.15,1269.28
1112,12-04-2018,Southern,650.59,679.75,47.03,48.35,62.88,68.84,760.5
1113,12-04-2018,Eastern,457.96,514.01,,,39.12,32.6,497.08
1114,12-04-2018,NorthEastern,30.25,30.66,,,7.43,6.15,37.68
1115,13-04-2018,Northern,635.07,564.95,22.5,30.64,154.72,112.04,812.29
1116,13-04-2018,Western,1228.03,1259.05,14.07,31.02,24.4,37.81,1266.5
1117,13-04-2018,Southern,650.59,678.86,47.03,47.24,62.88,67.26,760.5
1118,13-04-2018,Eastern,457.96,511.87,,,39.12,44.1,497.08
1119,13-04-2018,NorthEastern,30.25,30.2,,,7.43,7.13,37.68
1120,14-04-2018,Northern,634.85,575.03,22.5,30.6,154.72,108.37,812.07
1121,14-04-2018,Western,1221.34,1249.04,14.07,32.52,24.4,36.32,1259.81
1122,14-04-2018,Southern,650.59,668.5,47.03,47.41,62.88,70.08,760.5
1123,14-04-2018,Eastern,457.96,524.46,,,39.12,56.72,497.08
1124,14-04-2018,NorthEastern,30.25,30.7,,,7.43,7.31,37.68
1125,15-04-2018,Northern,633.45,569.61,22.5,30.77,154.72,100.27,810.67
1126,15-04-2018,Western,1221.34,1239.95,14.07,32.57,24.4,18.04,1259.81
1127,15-04-2018,Southern,650.59,632.69,47.03,47.14,62.88,46.07,760.5
1128,15-04-2018,Eastern,466.34,522.98,,,39.12,31.43,505.46
1129,15-04-2018,NorthEastern,30.25,32.35,,,7.43,6.66,37.68
1130,16-04-2018,Northern,633.45,595.53,22.5,29.18,154.72,98.19,810.67
1131,16-04-2018,Western,1219.34,1308.4,14.07,32.99,24.4,19.68,1257.81
1132,16-04-2018,Southern,641.19,655.25,47.03,48.29,62.88,67.79,751.1
1133,16-04-2018,Eastern,466.34,558.77,,,39.12,46.67,505.46
1134,16-04-2018,NorthEastern,30.25,35.25,,,7.43,6.53,37.68
1135,17-04-2018,Northern,633.45,620.14,22.5,26.26,154.72,102.79,810.67
1136,17-04-2018,Western,1219.34,1311.7,14.07,33.33,24.4,28.71,1257.81
1137,17-04-2018,Southern,636.56,669.71,47.03,48.31,62.88,66.46,746.47
1138,17-04-2018,Eastern,466.34,552.32,,,39.12,34.59,505.46
1139,17-04-2018,NorthEastern,30.25,32.16,,,7.43,6.8,37.68
1140,18-04-2018,Northern,631.21,618.93,22.5,26.39,154.72,102.94,808.43
1141,18-04-2018,Western,1219.34,1293.82,14.07,33.25,24.4,19.16,1257.81
1142,18-04-2018,Southern,636.56,673.97,47.03,47.5,62.88,71.08,746.47
1143,18-04-2018,Eastern,466.34,534.17,,,39.12,32.63,505.46
1144,18-04-2018,NorthEastern,30.25,29.13,,,7.43,6.53,37.68
1145,19-04-2018,Northern,631.21,633.05,22.5,26.05,154.72,107.26,808.43
1146,19-04-2018,Western,1219.34,1303.81,14.07,33.35,24.4,18.98,1257.81
1147,19-04-2018,Southern,636.56,683.15,47.03,47.46,62.88,54.77,746.47
1148,19-04-2018,Eastern,466.34,543.68,,,39.12,36.08,505.46
1149,19-04-2018,NorthEastern,30.25,27.83,,,7.43,6.34,37.68
1150,20-04-2018,Northern,633.71,598.29,22.5,26.21,154.72,111.32,810.93
1151,20-04-2018,Western,1222.12,1259.79,14.07,33.27,24.4,18.47,1260.59
1152,20-04-2018,Southern,636.56,678.58,47.03,47.36,62.88,59.14,746.47
1153,20-04-2018,Eastern,466.34,534.11,,,39.12,40.68,505.46
1154,20-04-2018,NorthEastern,30.25,28.2,,,7.43,6.65,37.68
1155,21-04-2018,Northern,633.23,639.05,22.5,26.19,154.72,115.34,810.45
1156,21-04-2018,Western,1227.92,1305.23,14.07,33.24,24.4,34.1,1266.39
1157,21-04-2018,Southern,636.56,670.58,47.03,47.29,62.88,68.93,746.47
1158,21-04-2018,Eastern,466.34,525.29,,,39.12,40.98,505.46
1159,21-04-2018,NorthEastern,30.25,30.65,,,7.43,7.77,37.68
1160,22-04-2018,Northern,633.23,599.51,22.5,26.03,154.72,112.12,810.45
1161,22-04-2018,Western,1227.92,1279.26,14.07,33.24,24.4,23.37,1266.39
1162,22-04-2018,Southern,636.56,629.1,47.03,48.28,62.88,40.93,746.47
1163,22-04-2018,Eastern,466.34,517.23,,,39.12,41.91,505.46
1164,22-04-2018,NorthEastern,30.25,32.61,,,7.43,7.62,37.68
1165,23-04-2018,Northern,633.23,648.95,22.5,26.13,154.72,118.87,810.45
1166,23-04-2018,Western,1227.92,1284.93,14.07,33.32,24.4,35.18,1266.39
1167,23-04-2018,Southern,636.56,664.01,47.03,47.25,62.88,60.96,746.47
1168,23-04-2018,Eastern,466.34,546.55,,,39.12,44.27,505.46
1169,23-04-2018,NorthEastern,30.25,35.06,,,7.43,7.78,37.68
1170,24-04-2018,Northern,633.23,665.59,22.5,25.94,154.72,127.75,810.45
1171,24-04-2018,Western,1227.92,1282.71,14.07,33.37,24.4,37.08,1266.39
1172,24-04-2018,Southern,636.56,675.25,47.03,48.11,62.88,53.69,746.47
1173,24-04-2018,Eastern,465.25,524.5,,,39.12,48.82,504.37
1174,24-04-2018,NorthEastern,30.25,34.75,,,7.43,8.79,37.68
1175,25-04-2018,Northern,633.23,680.01,22.5,25.86,154.72,138.19,810.45
1176,25-04-2018,Western,1227.92,1270.5,14.07,33.17,24.4,31.57,1266.39
1177,25-04-2018,Southern,636.56,680.34,47.03,48.13,62.88,49.79,746.47
1178,25-04-2018,Eastern,465.25,522.58,,,39.12,46.04,504.37
1179,25-04-2018,NorthEastern,30.25,32.37,,,7.43,7.3,37.68
1180,26-04-2018,Northern,633.23,680.66,22.5,25.71,154.72,150.83,810.45
1181,26-04-2018,Western,1233.32,1263.88,14.07,33.3,24.4,32.71,1271.79
1182,26-04-2018,Southern,636.56,691.85,47.03,48.21,62.88,55.27,746.47
1183,26-04-2018,Eastern,465.25,516.98,,,39.12,41.33,504.37
1184,26-04-2018,NorthEastern,30.25,31.55,,,7.43,7.8,37.68
1185,27-04-2018,Northern,633.23,697.1,22.5,20.92,154.72,159.6,810.45
1186,27-04-2018,Western,1233.32,1262.12,14.07,33.26,24.4,36.95,1271.79
1187,27-04-2018,Southern,636.56,706.84,47.03,47.32,62.88,62.78,746.47
1188,27-04-2018,Eastern,465.25,515.18,,,39.12,41.09,504.37
1189,27-04-2018,NorthEastern,30.25,33.26,,,7.43,7.81,37.68
1190,28-04-2018,Northern,630.56,714.5,22.5,20.86,154.72,163.81,807.78
1191,28-04-2018,Western,1235.32,1227.49,14.07,33.16,24.4,37.15,1273.79
1192,28-04-2018,Southern,636.56,706.35,47.03,36.24,62.88,67.61,746.47
1193,28-04-2018,Eastern,465.25,519.88,,,39.12,44.33,504.37
1194,28-04-2018,NorthEastern,30.25,35.59,,,7.43,7.24,37.68
1195,29-04-2018,Northern,633.06,671.69,22.5,20.75,154.72,168.85,810.28
1196,29-04-2018,Western,1235.32,1160.84,14.07,33.22,24.4,28.79,1273.79
1197,29-04-2018,Southern,636.56,670.12,47.03,25.47,62.88,48.03,746.47
1198,29-04-2018,Eastern,465.25,505.86,,,39.12,24.52,504.37
1199,29-04-2018,NorthEastern,30.25,32.49,,,7.43,7.35,37.68
1200,30-04-2018,Northern,636.39,624.62,22.5,22.49,154.72,177.88,813.61
1201,30-04-2018,Western,1235.32,1183.77,14.07,33.17,24.4,20.21,1273.79
1202,30-04-2018,Southern,636.56,672.75,47.03,25.1,62.88,50.68,746.47
1203,30-04-2018,Eastern,469.05,466.64,,,39.12,42.25,508.17
1204,30-04-2018,NorthEastern,30.25,31.99,,,7.43,7.14,37.68
1205,01-05-2018,Northern,628.57,593.17,24.66,26.01,244.89,189.84,898.12
1206,01-05-2018,Western,1217.35,1176.83,14.06,33.14,23.41,14.24,1254.82
1207,01-05-2018,Southern,631.61,619.23,57.26,34.76,52.96,32.36,741.83
1208,01-05-2018,Eastern,469.21,460.44,,,46.26,38.86,515.47
1209,01-05-2018,NorthEastern,30.13,29.9,,,13.75,7.04,43.88
1210,02-05-2018,Northern,628.57,567.45,24.66,25.63,244.89,205.31,898.12
1211,02-05-2018,Western,1216.67,1190.12,14.06,33.14,23.41,29.06,1254.14
1212,02-05-2018,Southern,631.61,630.54,57.26,45.38,52.96,44.65,741.83
1213,02-05-2018,Eastern,469.21,499.39,,,46.26,41.93,515.47
1214,02-05-2018,NorthEastern,30.13,30.23,,,13.75,9.63,43.88
1215,03-05-2018,Northern,628.57,492.84,24.66,23.24,244.89,212.87,898.12
1216,03-05-2018,Western,1217.84,1167.9,14.06,33.12,23.41,45.75,1255.31
1217,03-05-2018,Southern,631.61,617.08,57.26,46.33,52.96,47.39,741.83
1218,03-05-2018,Eastern,469.21,488.75,,,46.26,43.22,515.47
1219,03-05-2018,NorthEastern,30.13,31.77,,,13.75,10.81,43.88
1220,04-05-2018,Northern,628.57,587.09,24.66,27.23,244.89,187.89,898.12
1221,04-05-2018,Western,1217.84,1236.92,14.06,20.11,23.41,50.85,1255.31
1222,04-05-2018,Southern,631.61,600.92,57.26,46.78,52.96,49.79,741.83
1223,04-05-2018,Eastern,469.21,529.05,,,46.26,57.3,515.47
1224,04-05-2018,NorthEastern,30.13,33.57,,,13.75,10.07,43.88
1225,05-05-2018,Northern,628.94,628.96,24.66,27.15,244.89,178.99,898.49
1226,05-05-2018,Western,1217.52,1241.82,14.06,20.09,23.41,56.07,1254.99
1227,05-05-2018,Southern,631.61,665.21,57.26,46.68,52.96,57.91,741.83
1228,05-05-2018,Eastern,469.21,542.87,,,46.26,59.1,515.47
1229,05-05-2018,NorthEastern,30.13,34.38,,,13.75,12.04,43.88
1230,06-05-2018,Northern,629.44,587.77,24.66,30.12,244.89,172.61,898.99
1231,06-05-2018,Western,1221.1,1228.22,14.06,20.06,23.41,33.04,1258.57
1232,06-05-2018,Southern,631.61,627.44,57.26,47.11,52.96,40.55,741.83
1233,06-05-2018,Eastern,469.21,533.29,,,46.26,42.2,515.47
1234,06-05-2018,NorthEastern,30.13,33.58,,,13.75,10.84,43.88
1235,07-05-2018,Northern,629.44,647.1,24.66,30.29,244.89,168.79,898.99
1236,07-05-2018,Western,1221.1,1232.29,14.06,20.05,23.41,48.31,1258.57
1237,07-05-2018,Southern,631.61,638.61,57.26,48.08,52.96,53.81,741.83
1238,07-05-2018,Eastern,469.21,528.5,,,46.26,56.69,515.47
1239,07-05-2018,NorthEastern,30.13,34.05,,,13.75,12.23,43.88
1240,08-05-2018,Northern,629.44,596.53,24.66,30.12,244.89,176.63,898.99
1241,08-05-2018,Western,1221.1,1254.69,14.06,20.07,23.41,50.59,1258.57
1242,08-05-2018,Southern,631.61,634.41,57.26,47.99,52.96,44.14,741.83
1243,08-05-2018,Eastern,469.21,514.01,,,46.26,66.4,515.47
1244,08-05-2018,NorthEastern,30.13,32.72,,,13.75,12.76,43.88
1245,09-05-2018,Northern,629.28,633.71,24.66,30.09,244.89,169.16,898.83
1246,09-05-2018,Western,1223.75,1275.69,14.06,20.07,23.41,51.79,1261.22
1247,09-05-2018,Southern,631.61,622.62,57.26,48.02,52.96,46.71,741.83
1248,09-05-2018,Eastern,470.3,518.65,,,46.26,61,516.56
1249,09-05-2018,NorthEastern,30.13,31.38,,,13.75,13.81,43.88
1250,10-05-2018,Northern,632.08,660.58,24.66,29.71,244.89,156.48,901.63
1251,10-05-2018,Western,1223.75,1283.29,14.06,20.06,23.41,59.26,1261.22
1252,10-05-2018,Southern,631.61,644.19,42.7,47.98,52.96,49.54,727.27
1253,10-05-2018,Eastern,470.3,521.92,,,46.26,64.4,516.56
1254,10-05-2018,NorthEastern,30.13,33.69,,,13.75,13.14,43.88
1255,11-05-2018,Northern,632.92,682.4,24.66,29.83,244.89,158.59,902.47
1256,11-05-2018,Western,1217.95,1301.29,14.06,20.08,23.41,23.23,1255.42
1257,11-05-2018,Southern,641.09,640.76,42.7,48.03,52.96,46.66,736.75
1258,11-05-2018,Eastern,470.3,514.63,,,46.26,57.87,516.56
1259,11-05-2018,NorthEastern,30.13,35.33,,,13.75,12.35,43.88
1260,12-05-2018,Northern,632.92,674.11,24.66,29.9,244.89,179.13,902.47
1261,12-05-2018,Western,1217.95,1264.19,14.06,20.06,23.41,27.78,1255.42
1262,12-05-2018,Southern,641.09,620.25,42.7,48.02,52.96,31.37,736.75
1263,12-05-2018,Eastern,470.3,497.06,,,46.26,44.54,516.56
1264,12-05-2018,NorthEastern,30.13,35.4,,,13.75,13.05,43.88
1265,13-05-2018,Northern,632.92,622.57,24.66,29.65,244.89,184.35,902.47
1266,13-05-2018,Western,1217.95,1219.35,14.06,20,23.41,30.57,1255.42
1267,13-05-2018,Southern,641.09,601.86,42.7,48.14,52.96,26.44,736.75
1268,13-05-2018,Eastern,470.3,476.61,,,46.26,40.7,516.56
1269,13-05-2018,NorthEastern,30.13,32.91,,,13.75,14.64,43.88
1270,14-05-2018,Northern,632.92,531.01,24.66,30.07,244.89,192.18,902.47
1271,14-05-2018,Western,1217.95,1261.58,14.06,19.98,23.41,34.98,1255.42
1272,14-05-2018,Southern,641.09,610.52,42.7,48.08,52.96,42.41,736.75
1273,14-05-2018,Eastern,470.3,432.32,,,46.26,39.58,516.56
1274,14-05-2018,NorthEastern,30.13,32.97,,,13.75,14.19,43.88
1275,15-05-2018,Northern,636.36,632.85,24.66,29.93,244.89,185.28,905.91
1276,15-05-2018,Western,1211.95,1299.81,14.06,19.98,23.41,40.73,1249.42
1277,15-05-2018,Southern,641.09,647.91,42.7,48.05,52.96,50.81,736.75
1278,15-05-2018,Eastern,466.59,489.72,,,46.26,44.36,512.85
1279,15-05-2018,NorthEastern,30.13,29.47,,,13.75,13.33,43.88
1280,16-05-2018,Northern,645.24,666.69,28.41,30.23,244.89,180.51,918.54
1281,16-05-2018,Western,1223.2,1285.64,14.06,19.95,23.41,35.03,1260.67
1282,16-05-2018,Southern,641.09,654.02,42.7,48,52.96,50.89,736.75
1283,16-05-2018,Eastern,466.59,488.95,,,46.26,51.4,512.85
1284,16-05-2018,NorthEastern,30.13,26.78,,,13.75,14.2,43.88
1285,17-05-2018,Northern,645.24,688.03,28.41,33.51,244.89,189.05,918.54
1286,17-05-2018,Western,1223.2,1302.29,14.06,19.94,23.41,35.73,1260.67
1287,17-05-2018,Southern,641.09,664.61,42.7,47.9,52.96,44.96,736.75
1288,17-05-2018,Eastern,466.59,483.58,,,46.26,48.78,512.85
1289,17-05-2018,NorthEastern,30.13,28.17,,,13.75,14.84,43.88
1290,18-05-2018,Northern,647.45,704.28,28.41,34.83,244.89,197.16,920.75
1291,18-05-2018,Western,1223.2,1287.51,14.06,19.9,23.41,27.77,1260.67
1292,18-05-2018,Southern,641.09,647.2,42.7,46.97,52.96,54.22,736.75
1293,18-05-2018,Eastern,466.59,492.28,,,46.26,52.24,512.85
1294,18-05-2018,NorthEastern,30.13,24.64,,,13.75,14.76,43.88
1295,19-05-2018,Northern,649.43,714.48,28.41,34.79,244.89,169.72,922.73
1296,19-05-2018,Western,1223.2,1299.49,14.06,19.89,23.41,48.35,1260.67
1297,19-05-2018,Southern,641.09,633.41,42.7,46.83,52.96,54.56,736.75
1298,19-05-2018,Eastern,466.59,480.38,,,46.26,55.29,512.85
1299,19-05-2018,NorthEastern,30.13,29.24,,,13.75,14.46,43.88
1300,20-05-2018,Northern,646.95,713.14,28.41,34.74,244.89,178.7,920.25
1301,20-05-2018,Western,1223.2,1270.62,14.06,19.82,23.41,38.87,1260.67
1302,20-05-2018,Southern,641.09,557.74,42.7,46.85,52.96,32.71,736.75
1303,20-05-2018,Eastern,476.59,484.7,,,46.26,45.96,522.85
1304,20-05-2018,NorthEastern,30.13,29.42,,,13.75,14.45,43.88
1305,21-05-2018,Northern,646.95,728.05,28.41,34.87,244.89,190.86,920.25
1306,21-05-2018,Western,1220.65,1309.83,14.06,19.76,23.41,30.43,1258.12
1307,21-05-2018,Southern,641.09,628.55,42.7,46.69,52.96,47.01,736.75
1308,21-05-2018,Eastern,476.59,509.25,,,46.26,53.83,522.85
1309,21-05-2018,NorthEastern,30.13,29.94,,,13.75,13.54,43.88
1310,22-05-2018,Northern,646.95,760.51,28.41,34.54,244.89,206.6,920.25
1311,22-05-2018,Western,1223.44,1361.97,14.06,19.85,23.41,25.75,1260.91
1312,22-05-2018,Southern,637.09,660.77,42.7,47.56,52.96,48.55,732.75
1313,22-05-2018,Eastern,476.59,518.57,,,46.26,50.2,522.85
1314,22-05-2018,NorthEastern,30.13,30.24,,,13.75,14.31,43.88
1315,23-05-2018,Northern,647.32,782.5,28.41,34.52,244.89,220.91,920.62
1316,23-05-2018,Western,1223.44,1331.94,14.06,19.95,23.41,34.19,1260.91
1317,23-05-2018,Southern,637.09,667.73,42.7,47.68,52.96,41.13,732.75
1318,23-05-2018,Eastern,476.59,513.14,,,46.26,55.56,522.85
1319,23-05-2018,NorthEastern,30.13,29.26,,,13.75,14.73,43.88
1320,24-05-2018,Northern,647.32,763.24,28.41,34.71,244.89,220.54,920.62
1321,24-05-2018,Western,1223.44,1325.32,14.06,19.98,23.41,24.36,1260.91
1322,24-05-2018,Southern,632.48,653.06,42.7,47.94,52.96,38.16,728.14
1323,24-05-2018,Eastern,476.59,514.61,,,46.26,66.9,522.85
1324,24-05-2018,NorthEastern,30.13,31.49,,,13.75,14.47,43.88
1325,25-05-2018,Northern,647.32,737.49,28.41,30.02,244.89,222.94,920.62
1326,25-05-2018,Western,1206.19,1317.08,14.06,19.98,23.41,20.28,1243.66
1327,25-05-2018,Southern,632.48,631.44,42.7,46.82,52.96,39.48,728.14
1328,25-05-2018,Eastern,476.59,520.6,,,46.26,74.99,522.85
1329,25-05-2018,NorthEastern,30.13,34.45,,,13.75,17.36,43.88
1330,26-05-2018,Northern,647.32,732.18,28.41,30.68,244.89,228.26,920.62
1331,26-05-2018,Western,1211.36,1319.06,14.06,19.94,23.41,33.34,1248.83
1332,26-05-2018,Southern,632.48,640.71,42.7,41.21,52.96,54.11,728.14
1333,26-05-2018,Eastern,476.59,506.77,,,46.26,74.76,522.85
